0.407,-0.358
0.4,-0.36
0.4,-0.36
0.403,-0.356
0.403,-0.356
-0.078,-0.939
-0.148,-0.935
-0.076,-0.918
-0.042,-0.933
-0.142,-0.957
-0.187,-0.865
0.119,-0.208
0.047,-0.425
-0.369,-1.985
0.043,-0.355
-0.307,1.103
-0.289,-0.177
0.141,-0.426
0.406,-8.566
-0.032,0.347
-0.167,0.902
0.149,-0.844
0.12,-0.694
0.211,-1.495
-0.009,1.204
0.151,0.234
0.231,-0.894
-2.849,-5.803
0.446,0.007
0.228,1.175
-0.518,0.114
0.697,-0.625
1.346,-7.74
-0.003,-0.115
-0.068,0.388
0.533,-0.477
-0.332,-0.558
-0.272,0.383
-0.012,0.446
0.754,-1.111
-1.474,-6.59
-0.034,0.444
0.021,-0.03
0.621,-0.441
-0.333,-0.078
-0.37,0.641
0.054,-0.489
-0.137,-1.851
-1.618,-0.497
-0.893,-1.265
2.054,-1.493
-2.02,-0.652
0.354,-0.871
1.861,-1.597
-2.574,-0.705
0.654,-0.952
0.501,-1.502
-1.401,-0.804
0.729,-0.589
-0.949,-0.66
0.006,-1.128
1.652,-1.378
-2.079,-0.824
0.106,-0.479
1.998,-2.098
-0.712,-1.363
0.11,0.955
-0.246,0.192
0.063,-1.983
-1.462,-1.725
-0.891,-1.458
-0.123,-1.212
1.259,-0.784
-0.315,-0.279
-0.235,0.449
0.002,-1.286
0.465,-0.385
0.154,0.639
0.314,-0.807
0.167,-0.461
0.19,-0.336
0.384,-1.1
0.418,-0.505
0.225,-0.076
0.791,1.341
1.089,-2.852
0.196,-0.216
0.901,-1.684
0.251,0.062
0.703,-0.951
-0.093,-0.069
0.518,-0.867
0.483,-0.764
0.376,-0.9
0.264,-0.911
0.189,-0.974
0.273,-0.979
-0.008,-0.968
0.068,-0.962
0.027,-0.985
0.044,-1.141
-0.007,-0.948
-0.209,-1.012
-0.159,-1.029
-0.036,-0.981
-0.039,-1.063
-0.037,-0.979
-0.04,-0.994
